iter	Passed	Remaining
795	63959	81154
796	64041	81076
797	64126	81001
798	64207	80922
799	64285	80839
800	64367	80760
801	64442	80673
802	64517	80586
803	64596	80504
804	64674	80420
805	64753	80339
806	64834	80259
807	64913	80177
808	64992	80095
809	65067	80008
810	65146	79926
811	65275	79906
812	65361	79832
813	65440	79750
814	65519	79668
815	65596	79584
816	65678	79505
817	65757	79423
818	65837	79342
819	65916	79259
820	65992	79174
821	66071	79093
822	66158	79019
823	66238	78940
824	66325	78866
825	66410	78791
826	66486	78706
827	66575	78636
828	66657	78557
829	66736	78475
830	66817	78395
831	66905	78323
832	66991	78250
833	67074	78172
834	67151	78089
835	67230	78006
836	67319	77936
837	67405	77861
838	67488	77784
839	67565	77700
840	67644	77617
841	67722	77535
842	67805	77457
843	67895	77387
844	67974	77306
845	68052	77222
846	68134	77144
847	68221	77070
848	68311	77001
849	68400	76930
850	68486	76855
851	68568	76777
852	68655	76703
853	68738	76626
854	68824	76552
855	68907	76473
856	68991	76398
857	69077	76323
858	69155	76239
859	69247	76172
860	69331	76095
861	69412	76015
862	69491	75933
863	69573	75854
864	69663	75784
865	69743	75703
866	69822	75621
867	69906	75544
868	69992	75469
869	70076	75392
870	70155	75310
871	70233	75226
872	70313	75146
873	70391	75062
874	70480	74991
875	70569	74919
876	70650	74839
877	70734	74763
878	70817	74684
879	70894	74600
880	70978	74523
881	71063	74447
882	71148	74372
883	71228	74290
884	71306	74206
885	71390	74129
886	71472	74051
887	71551	73968
888	71626	73882
889	71702	73797
890	71785	73719
891	71868	73640
892	71946	73557
893	72031	73481
894	72111	73400
895	72191	73319
896	72272	73239
897	72360	73166
898	72444	73089
899	72522	73006
900	72602	72924
901	72682	72844
902	72763	72763
903	72845	72684
904	72923	72600
905	73001	72517
906	73082	72437
907	73165	72359
908	73243	72277
909	73320	72192
910	73399	72110
911	73494	72043
912	73575	71963
913	73656	71883
914	73733	71799
915	73812	71716
916	73890	71634
917	73969	71551
918	74049	71471
919	74129	71389
920	74207	71306
921	74284	71223
922	74364	71142
923	74446	71062
924	74526	70981
925	74607	70900
926	74687	70820
927	74765	70736
928	74845	70655
929	74929	70578
930	75007	70495
931	75083	70410
932	75165	70331
933	75245	70250
934	75324	70168
935	75403	70087
936	75479	70002
937	75559	69920
938	75640	69840
939	75716	69755
940	75800	69678
941	75879	69596
942	75958	69514
943	76038	69433
944	76116	69350
945	76199	69271
946	76278	69190
947	76356	69107
948	76435	69025
949	76523	68951
950	76611	68877
951	76694	68799
952	76772	68716
953	76847	68631
954	76927	68549
955	77018	68478
956	77139	68433
957	77223	68356
958	77305	68276
959	77385	68195
960	77462	68112
961	77546	68034
962	77626	67953
963	77708	67873
964	77789	67793
965	77867	67710
966	77949	67631
967	78030	67550
968	78108	67467
969	78188	67387
970	78265	67303
971	78343	67220
972	78427	67142
973	78506	67060
974	78584	66977
975	78660	66893
976	78736	66809
977	78812	66725
978	78898	66648
979	78972	66562
980	79052	66481
981	79131	66399
982	79209	66316
983	79293	66239
984	79376	66160
985	79455	66078
986	79533	65995
987	79610	65912
988	79690	65831
989	79776	65754
990	79855	65673
991	79934	65591
992	80015	65510
993	80092	65427
994	80171	65345
995	80255	65268
996	80333	65185
997	80412	65103
998	80492	65022
999	80573	64941
1000	80661	64867
1001	80743	64788
1002	80826	64709
1003	80904	64626
1004	80981	64543
1005	81065	64465
1006	81144	64383
1007	81220	64299
1008	81301	64218
1009	81379	64136
1010	81459	64055
1011	81542	63976
1012	81620	63894
1013	81698	63811
1014	81777	63730
1015	81859	63650
1016	81939	63569
1017	82020	63489
1018	82097	63405
1019	82173	63322
1020	82250	63238
1021	82329	63156
1022	82413	63078
1023	82493	62998
1024	82572	62916
1025	82649	62833
1026	82725	62748
1027	82802	62665
1028	82886	62588
1029	82967	62507
1030	83046	62425
1031	83126	62344
1032	83202	62261
1033	83282	62180
1034	83360	62097
1035	83438	62015
1036	83518	61933
1037	83595	61851
1038	83669	61765
1039	83754	61688
1040	83831	61605
1041	83910	61523
1042	83988	61441
1043	84068	61360
1044	84150	61280
1045	84230	61199
1046	84306	61116
1047	84385	61034
1048	84464	60953
1049	84546	60873
1050	84627	60793
1051	84707	60712
1052	84789	60633
1053	84873	60554
1054	84953	60474
1055	85032	60392
1056	85115	60313
1057	85194	60232
1058	85273	60150
1059	85350	60067
1060	85427	59984
1061	85512	59906
1062	85595	59828
1063	85672	59745
1064	85750	59662
1065	85829	59581
1066	85908	59499
1067	85987	59418
1068	86067	59337
1069	86146	59255
1070	86224	59173
1071	86300	59090
1072	86384	59012
1073	86466	58932
1074	86542	58849
1075	86625	58769
1076	86703	58688
1077	86787	58609
1078	86867	58528
1079	86945	58446
1080	87022	58364
1081	87102	58282
1082	87176	58198
1083	87256	58117
1084	87337	58036
1085	87419	57957
1086	87502	57878
1087	87578	57795
1088	87661	57716
1089	87742	57636
1090	87820	57554
1091	87898	57471
1092	87975	57389
1093	88055	57308
1094	88136	57228
1095	88220	57150
1096	88300	57069
1097	88381	56989
1098	88462	56909
1099	88545	56829
1100	88634	56754
1101	88712	56673
1102	88790	56591
1103	88867	56508
1104	88946	56426
1105	89038	56353
1106	89116	56271
1107	89197	56191
1108	89277	56110
1109	89358	56029
1110	89439	55949
1111	89522	55871
1112	89604	55791
1113	89682	55709
1114	89818	55663
1115	89902	55584
1116	89988	55507
1117	90066	55425
1118	90146	55344
1119	90225	55263
1120	90302	55180
1121	90385	55101
1122	90462	55018
1123	90542	54937
1124	90618	54854
1125	90701	54775
1126	90785	54697
1127	90866	54616
1128	90946	54535
1129	91024	54453
1130	91101	54371
1131	91180	54289
1132	91264	54210
1133	91339	54127
1134	91419	54046
1135	91499	53965
1136	91579	53884
1137	91661	53805
1138	91740	53723
1139	91819	53641
1140	91899	53561
1141	91978	53479
1142	92055	53396
1143	92138	53317
1144	92214	53234
1145	92292	53152
1146	92368	53069
1147	92450	52989
1148	92531	52909
1149	92607	52826
1150	92686	52744
1151	92761	52661
1152	92840	52580
1153	92916	52496
1154	92999	52417
1155	93079	52336
1156	93168	52261
1157	93252	52182
1158	93332	52101
1159	93415	52023
1160	93495	51941
1161	93578	51862
1162	93652	51778
1163	93729	51696
1164	93809	51615
1165	93893	51536
1166	93971	51455
1167	94050	51373
1168	94129	51292
1169	94205	51209
1170	94288	51129
1171	94367	51048
1172	94449	50968
1173	94527	50887
1174	94610	50807
1175	94694	50728
1176	94772	50647
1177	94851	50565
1178	94935	50487
1179	95011	50404
1180	95091	50323
1181	95175	50244
1182	95252	50162
1183	95328	50079
1184	95408	49998
1185	95486	49917
1186	95570	49838
1187	95648	49756
1188	95726	49674
1189	95804	49592
1190	95883	49511
1191	95961	49429
1192	96043	49350
1193	96123	49269
1194	96202	49188
1195	96277	49104
1196	96356	49023
1197	96437	48943
1198	96521	48864
1199	96600	48783
1200	96675	48699
1201	96752	48617
1202	96828	48535
1203	96915	48457
1204	96991	48375
1205	97071	48294
1206	97150	48212
1207	97225	48129
1208	97312	48052
1209	97397	47974
1210	97474	47892
1211	97553	47811
1212	97632	47729
1213	97711	47648
1214	97793	47568
1215	97871	47487
1216	97949	47405
1217	98029	47324
1218	98106	47242
1219	98185	47161
1220	98270	47082
1221	98348	47001
1222	98426	46919
1223	98503	46837
1224	98581	46755
1225	98660	46674
1226	98740	46594
1227	98820	46513
1228	98899	46432
1229	98974	46349
1230	99053	46268
1231	99134	46187
1232	99211	46105
1233	99290	46024
1234	99368	45942
1235	99444	45860
1236	99525	45780
1237	99608	45700
1238	99686	45619
1239	99763	45537
1240	99843	45456
1241	99924	45376
1242	100005	45296
1243	100083	45214
1244	100162	45133
1245	100236	45050
1246	100317	44969
1247	100396	44888
1248	100482	44810
1249	100557	44727
1250	100638	44647
1251	100715	44565
1252	100796	44485
1253	100880	44406
1254	100959	44325
1255	101039	44245
1256	101123	44166
1257	101199	44083
1258	101276	44001
1259	101359	43922
1260	101444	43844
1261	101529	43765
1262	101610	43685
1263	101688	43603
1264	101766	43522
1265	101882	43456
1266	101976	43382
1267	102052	43299
1268	102132	43219
1269	102214	43139
1270	102298	43060
1271	102374	42977
1272	102451	42896
1273	102527	42813
1274	102606	42732
1275	102688	42652
1276	102768	42572
1277	102847	42490
1278	102927	42410
1279	103004	42328
1280	103085	42248
1281	103166	42167
1282	103243	42086
1283	103322	42004
1284	103401	41923
1285	103482	41843
1286	103566	41764
1287	103644	41683
1288	103722	41601
1289	103799	41519
1290	103874	41437
1291	103959	41358
1292	104040	41278
1293	104120	41197
1294	104200	41116
1295	104279	41035
1296	104357	40954
1297	104437	40874
1298	104518	40793
1299	104597	40712
1300	104675	40631
1301	104752	40549
1302	104831	40468
1303	104913	40388
1304	104992	40307
1305	105071	40226
1306	105146	40143
1307	105225	40063
1308	105308	39983
1309	105385	39901
1310	105461	39819
1311	105541	39738
1312	105629	39661
1313	105713	39582
1314	105812	39508
1315	105890	39427
1316	105970	39346
1317	106047	39264
1318	106127	39184
1319	106209	39104
1320	106289	39023
1321	106366	38941
1322	106443	38860
1323	106523	38779
1324	106610	38701
1325	106688	38620
1326	106768	38539
1327	106844	38457
1328	106922	38376
1329	107007	38297
1330	107089	38217
1331	107165	38135
1332	107243	38054
1333	107322	37973
1334	107401	37892
1335	107485	37813
1336	107559	37730
1337	107638	37649
1338	107712	37566
1339	107792	37486
1340	107873	37405
1341	107954	37325
1342	108032	37244
1343	108111	37163
1344	108190	37082
1345	108269	37001
1346	108353	36922
1347	108433	36841
1348	108510	36759
1349	108589	36679
1350	108668	36598
1351	108750	36518
1352	108827	36436
1353	108908	36356
1354	108985	36274
1355	109064	36193
1356	109141	36112
1357	109225	36033
1358	109300	35950
1359	109379	35870
1360	109459	35789
1361	109536	35707
1362	109617	35627
1363	109699	35547
1364	109788	35470
1365	109865	35388
1366	109947	35308
1367	110025	35227
1368	110108	35147
1369	110185	35066
1370	110265	34985
1371	110341	34904
1372	110419	34822
1373	110499	34742
1374	110578	34661
1375	110660	34581
1376	110743	34501
1377	110820	34420
1378	110898	34339
1379	110984	34260
1380	111064	34179
1381	111141	34098
1382	111221	34017
1383	111300	33936
1384	111382	33856
1385	111462	33776
1386	111542	33695
1387	111622	33615
1388	111701	33534
1389	111780	33453
1390	111862	33373
1391	111941	33292
1392	112021	33212
1393	112104	33132
1394	112184	33052
1395	112265	32971
1396	112345	32891
1397	112427	32811
1398	112504	32729
1399	112582	32649
1400	112662	32568
1401	112746	32488
1402	112825	32408
1403	112902	32326
1404	112984	32246
1405	113066	32166
1406	113158	32089
1407	113277	32020
1408	113355	31938
1409	113433	31857
1410	113511	31776
1411	113592	31696
1412	113679	31617
1413	113759	31537
1414	113842	31457
1415	113928	31378
1416	114006	31297
1417	114093	31218
1418	114168	31136
1419	114247	31055
1420	114327	30975
1421	114403	30893
1422	114482	30812
1423	114562	30732
1424	114642	30651
1425	114721	30570
1426	114798	30489
1427	114876	30408
1428	114958	30328
1429	115036	30247
1430	115117	30166
